Date,Case,Total_cases,,,,,,,,,,,,,,
03-05-2020,recovered,5240,,,,,,,,,,,,,,
03-05-2020,tested,462582,,,,,,,,,,,,,,
03-05-2020,confirmed,42779,,,,,,,,,,,,,,
03-05-2020,recovered,11763,,,,,,,,,,,,,,
03-05-2020,tested,1221626,,,,,,,,,,,,,,
04-05-2020,recovered,5742,,,,,,,,,,,,,,
04-05-2020,tested,485672,,,,,,,,,,,,,,
04-05-2020,confirmed,46435,,,,,,,,,,,,,,
04-05-2020,recovered,12845,,,,,,,,,,,,,,
04-05-2020,tested,1298619,,,,,,,,,,,,,,
05-05-2020,recovered,6401,,,,,,,,,,,,,,
05-05-2020,tested,503810,,,,,,,,,,,,,,
05-05-2020,confirmed,49406,,,,,,,,,,,,,,
05-05-2020,recovered,14140,,,,,,,,,,,,,,
05-05-2020,tested,1374610,,,,,,,,,,,,,,
06-05-2020,recovered,6872,,,,,,,,,,,,,,
06-05-2020,tested,509107,,,,,,,,,,,,,,
06-05-2020,confirmed,53008,,,,,,,,,,,,,,
06-05-2020,recovered,15301,,,,,,,,,,,,,,
06-05-2020,tested,1444090,,,,,,,,,,,,,,
07-05-2020,recovered,1475,,,,,,,,,,,,,,
07-05-2020,recovered,7717,,,,,,,,,,,,,,
07-05-2020,tested,522084,,,,,,,,,,,,,,
07-05-2020,confirmed,56352,,,,,,,,,,,,,,
07-05-2020,recovered,16776,,,,,,,,,,,,,,
07-05-2020,tested,1525336,,,,,,,,,,,,,,
08-05-2020,recovered,7866,,,,,,,,,,,,,,
08-05-2020,confirmed,59691,,,,,,,,,,,,,,
08-05-2020,recovered,17887,,,,,,,,,,,,,,
08-05-2020,tested,1609521,,,,,,,,,,,,,,
09-05-2020,recovered,8449,,,,,,,,,,,,,,
09-05-2020,confirmed,62866,,,,,,,,,,,,,,
09-05-2020,recovered,19301,,,,,,,,,,,,,,
09-05-2020,tested,1694773,,,,,,,,,,,,,,
10-05-2020,recovered,9207,,,,,,,,,,,,,,
10-05-2020,confirmed,67177,,,,,,,,,,,,,,
10-05-2020,recovered,20970,,,,,,,,,,,,,,
10-05-2020,tested,1791150,,,,,,,,,,,,,,
11-05-2020,recovered,9704,,,,,,,,,,,,,,
11-05-2020,confirmed,70769,,,,,,,,,,,,,,
11-05-2020,recovered,22549,,,,,,,,,,,,,,
11-05-2020,tested,1857772,,,,,,,,,,,,,,
12-05-2020,recovered,10314,,,,,,,,,,,,,,
12-05-2020,confirmed,74331,,,,,,,,,,,,,,
12-05-2020,recovered,24454,,,,,,,,,,,,,,
12-05-2020,tested,1947449,,,,,,,,,,,,,,
13-05-2020,recovered,11116,,,,,,,,,,,,,,
13-05-2020,confirmed,78057,,,,,,,,,,,,,,
13-05-2020,recovered,26417,,,,,,,,,,,,,,
13-05-2020,tested,2042275,,,,,,,,,,,,,,
14-05-2020,confirmed,82048,,,,,,,,,,,,,,
14-05-2020,recovered,28011,,,,,,,,,,,,,,
14-05-2020,tested,2145139,,,,,,,,,,,,,,
15-05-2020,confirmed,85856,,,,,,,,,,,,,,
15-05-2020,recovered,30245,,,,,,,,,,,,,,
15-05-2020,tested,2245318,,,,,,,,,,,,,,
16-05-2020,tested,105588,,,,,,,,,,,,,,
16-05-2020,tested,656133,,,,,,,,,,,,,,
16-05-2020,confirmed,90650,,,,,,,,,,,,,,
16-05-2020,recovered,34257,,,,,,,,,,,,,,
16-05-2020,tested,2350906,,,,,,,,,,,,,,
17-05-2020,tested,678479,,,,,,,,,,,,,,
17-05-2020,confirmed,95699,,,,,,,,,,,,,,
17-05-2020,recovered,36795,,,,,,,,,,,,,,
17-05-2020,tested,2469629,,,,,,,,,,,,,,
18-05-2020,tested,720178,,,,,,,,,,,,,,
18-05-2020,confirmed,100327,,,,,,,,,,,,,,
18-05-2020,recovered,39277,,,,,,,,,,,,,,
18-05-2020,tested,2577950,,,,,,,,,,,,,,
19-05-2020,tested,116480,,,,,,,,,,,,,,
19-05-2020,tested,746981,,,,,,,,,,,,,,
19-05-2020,confirmed,105667,,,,,,,,,,,,,,
19-05-2020,recovered,42309,,,,,,,,,,,,,,
19-05-2020,tested,2694430,,,,,,,,,,,,,,
20-05-2020,tested,118354,,,,,,,,,,,,,,
20-05-2020,tested,770509,,,,,,,,,,,,,,
20-05-2020,confirmed,111105,,,,,,,,,,,,,,
20-05-2020,recovered,45422,,,,,,,,,,,,,,
20-05-2020,tested,2812784,,,,,,,,,,,,,,
21-05-2020,tested,122678,,,,,,,,,,,,,,
21-05-2020,tested,790323,,,,,,,,,,,,,,
21-05-2020,confirmed,116821,,,,,,,,,,,,,,
21-05-2020,recovered,48553,,,,,,,,,,,,,,
21-05-2020,tested,2935462,,,,,,,,,,,,,,
22-05-2020,tested,125206,,,,,,,,,,,,,,
22-05-2020,tested,815350,,,,,,,,,,,,,,
22-05-2020,confirmed,123140,,,,,,,,,,,,,,
22-05-2020,recovered,51833,,,,,,,,,,,,,,
22-05-2020,tested,3060668,,,,,,,,,,,,,,
23-05-2020,tested,127564,,,,,,,,,,,,,,
23-05-2020,tested,837326,,,,,,,,,,,,,,
23-05-2020,confirmed,129526,,,,,,,,,,,,,,
23-05-2020,recovered,54409,,,,,,,,,,,,,,
23-05-2020,tested,3188232,,,,,,,,,,,,,,
24-05-2020,tested,849236,,,,,,,,,,,,,,
24-05-2020,confirmed,136198,,,,,,,,,,,,,,
24-05-2020,recovered,57694,,,,,,,,,,,,,,
24-05-2020,tested,3318865,,,,,,,,,,,,,,
25-05-2020,tested,118994,,,,,,,,,,,,,,
25-05-2020,tested,859909,,,,,,,,,,,,,,
25-05-2020,confirmed,142308,,,,,,,,,,,,,,
25-05-2020,recovered,60706,,,,,,,,,,,,,,
25-05-2020,tested,3437859,,,,,,,,,,,,,,
26-05-2020,tested,106543,,,,,,,,,,,,,,
26-05-2020,tested,849972,,,,,,,,,,,,,,
26-05-2020,confirmed,147887,,,,,,,,,,,,,,
26-05-2020,recovered,64291,,,,,,,,,,,,,,
26-05-2020,tested,3544402,,,,,,,,,,,,,,
27-05-2020,tested,117082,,,,,,,,,,,,,,
27-05-2020,tested,848700,,,,,,,,,,,,,,
27-05-2020,confirmed,154090,,,,,,,,,,,,,,
27-05-2020,recovered,67725,,,,,,,,,,,,,,
27-05-2020,tested,3661484,,,,,,,,,,,,,,
28-05-2020,tested,135657,,,,,,,,,,,,,,
28-05-2020,tested,861679,,,,,,,,,,,,,,
28-05-2020,confirmed,161025,,,,,,,,,,,,,,
28-05-2020,recovered,70896,,,,,,,,,,,,,,
28-05-2020,tested,3797141,,,,,,,,,,,,,,
29-05-2020,tested,161172,,,,,,,,,,,,,,
29-05-2020,tested,897645,,,,,,,,,,,,,,
29-05-2020,confirmed,168822,,,,,,,,,,,,,,
29-05-2020,recovered,82631,,,,,,,,,,,,,,
29-05-2020,tested,3958313,,,,,,,,,,,,,,
30-05-2020,tested,918427,,,,,,,,,,,,,,
30-05-2020,confirmed,176816,,,,,,,,,,,,,,
30-05-2020,recovered,86934,,,,,,,,,,,,,,
30-05-2020,tested,4106659,,,,,,,,,,,,,,
31-05-2020,tested,144766,,,,,,,,,,,,,,
31-05-2020,tested,932560,,,,,,,,,,,,,,
31-05-2020,confirmed,185157,,,,,,,,,,,,,,
31-05-2020,recovered,91862,,,,,,,,,,,,,,
31-05-2020,tested,4251425,,,,,,,,,,,,,,
01-06-2020,tested,122893,,,,,,,,,,,,,,
01-06-2020,tested,936459,,,,,,,,,,,,,,
01-06-2020,confirmed,192742,,,,,,,,,,,,,,
01-06-2020,recovered,95744,,,,,,,,,,,,,,
01-06-2020,tested,4374318,,,,,,,,,,,,,,
02-06-2020,tested,152454,,,,,,,,,,,,,,
02-06-2020,tested,982370,,,,,,,,,,,,,,
02-06-2020,confirmed,200770,,,,,,,,,,,,,,
02-06-2020,recovered,100275,,,,,,,,,,,,,,
02-06-2020,tested,4526772,,,,,,,,,,,,,,
03-06-2020,tested,158655,,,,,,,,,,,,,,
03-06-2020,tested,1023943,,,,,,,,,,,,,,
03-06-2020,confirmed,209749,,,,,,,,,,,,,,
03-06-2020,recovered,104064,,,,,,,,,,,,,,
03-06-2020,tested,4685427,,,,,,,,,,,,,,
04-06-2020,tested,150387,,,,,,,,,,,,,,
04-06-2020,tested,1038673,,,,,,,,,,,,,,
04-06-2020,confirmed,219236,,,,,,,,,,,,,,
04-06-2020,recovered,108454,,,,,,,,,,,,,,
04-06-2020,tested,4835814,,,,,,,,,,,,,,
05-06-2020,tested,152433,,,,,,,,,,,,,,
05-06-2020,tested,1029934,,,,,,,,,,,,,,
05-06-2020,confirmed,228581,,,,,,,,,,,,,,
05-06-2020,recovered,113225,,,,,,,,,,,,,,
05-06-2020,tested,4988247,,,,,,,,,,,,,,
06-06-2020,tested,161040,,,,,,,,,,,,,,
06-06-2020,tested,1042628,,,,,,,,,,,,,,
06-06-2020,confirmed,238407,,,,,,,,,,,,,,
06-06-2020,recovered,118658,,,,,,,,,,,,,,
06-06-2020,tested,5149287,,,,,,,,,,,,,,
07-06-2020,tested,161217,,,,,,,,,,,,,,
07-06-2020,tested,1059079,,,,,,,,,,,,,,
07-06-2020,confirmed,248871,,,,,,,,,,,,,,
07-06-2020,recovered,123849,,,,,,,,,,,,,,
07-06-2020,tested,5310504,,,,,,,,,,,,,,
08-06-2020,tested,152431,,,,,,,,,,,,,,
08-06-2020,tested,1088617,,,,,,,,,,,,,,
08-06-2020,confirmed,258180,,,,,,,,,,,,,,
08-06-2020,recovered,129020,,,,,,,,,,,,,,
08-06-2020,tested,5462935,,,,,,,,,,,,,,
09-06-2020,confirmed,9107,,,,,,,,,,,,,,
09-06-2020,tested,160245,,,,,,,,,,,,,,
09-06-2020,confirmed,66517,,,,,,,,,,,,,,
09-06-2020,tested,1096408,,,,,,,,,,,,,,
09-06-2020,confirmed,267287,,,,,,,,,,,,,,
09-06-2020,recovered,134654,,,,,,,,,,,,,,
09-06-2020,tested,5623180,,,,,,,,,,,,,,
10-06-2020,confirmed,10640,,,,,,,,,,,,,,
10-06-2020,tested,153665,,,,,,,,,,,,,,
10-06-2020,confirmed,68178,,,,,,,,,,,,,,
10-06-2020,tested,1091418,,,,,,,,,,,,,,
10-06-2020,confirmed,277927,,,,,,,,,,,,,,
10-06-2020,recovered,140929,,,,,,,,,,,,,,
10-06-2020,tested,5776845,,,,,,,,,,,,,,
11-06-2020,confirmed,11431,,,,,,,,,,,,,,
11-06-2020,tested,169539,,,,,,,,,,,,,,
11-06-2020,confirmed,70122,,,,,,,,,,,,,,
11-06-2020,tested,1110570,,,,,,,,,,,,,,
11-06-2020,confirmed,289358,,,,,,,,,,,,,,
11-06-2020,recovered,146973,,,,,,,,,,,,,,
11-06-2020,tested,5946384,,,,,,,,,,,,,,
12-06-2020,tested,161139,,,,,,,,,,,,,,
12-06-2020,confirmed,72699,,,,,,,,,,,,,,
12-06-2020,tested,1119276,,,,,,,,,,,,,,
12-06-2020,confirmed,301280,,,,,,,,,,,,,,
12-06-2020,recovered,154236,,,,,,,,,,,,,,
12-06-2020,tested,6107523,,,,,,,,,,,,,,
13-06-2020,tested,163815,,,,,,,,,,,,,,
13-06-2020,confirmed,75243,,,,,,,,,,,,,,
13-06-2020,tested,1122051,,,,,,,,,,,,,,
13-06-2020,confirmed,313650,,,,,,,,,,,,,,
13-06-2020,recovered,162327,,,,,,,,,,,,,,
13-06-2020,tested,6271338,,,,,,,,,,,,,,
14-06-2020,confirmed,11952,,,,,,,,,,,,,,
14-06-2020,tested,168688,,,,,,,,,,,,,,
14-06-2020,confirmed,76731,,,,,,,,,,,,,,
14-06-2020,tested,1129522,,,,,,,,,,,,,,
14-06-2020,confirmed,325602,,,,,,,,,,,,,,
14-06-2020,recovered,169685,,,,,,,,,,,,,,
14-06-2020,tested,6440026,,,,,,,,,,,,,,
15-06-2020,confirmed,10496,,,,,,,,,,,,,,
15-06-2020,tested,158519,,,,,,,,,,,,,,
15-06-2020,confirmed,77918,,,,,,,,,,,,,,
15-06-2020,tested,1135610,,,,,,,,,,,,,,
15-06-2020,confirmed,336098,,,,,,,,,,,,,,
15-06-2020,recovered,180325,,,,,,,,,,,,,,
15-06-2020,tested,6598545,,,,,,,,,,,,,,
16-06-2020,confirmed,10373,,,,,,,,,,,,,,
16-06-2020,tested,187787,,,,,,,,,,,,,,
16-06-2020,confirmed,79184,,,,,,,,,,,,,,
16-06-2020,tested,1163152,,,,,,,,,,,,,,
16-06-2020,confirmed,346471,,,,,,,,,,,,,,
16-06-2020,recovered,187551,,,,,,,,,,,,,,
16-06-2020,tested,6786332,,,,,,,,,,,,,,
17-06-2020,tested,172035,,,,,,,,,,,,,,
17-06-2020,confirmed,81063,,,,,,,,,,,,,,
17-06-2020,tested,1181522,,,,,,,,,,,,,,
17-06-2020,confirmed,358990,,,,,,,,,,,,,,
17-06-2020,recovered,194441,,,,,,,,,,,,,,
17-06-2020,tested,6958367,,,,,,,,,,,,,,
18-06-2020,confirmed,13399,,,,,,,,,,,,,,
18-06-2020,recovered,10741,,,,,,,,,,,,,,
18-06-2020,tested,213476,,,,,,,,,,,,,,
18-06-2020,confirmed,83031,,,,,,,,,,,,,,
18-06-2020,recovered,58209,,,,,,,,,,,,,,
18-06-2020,tested,1225459,,,,,,,,,,,,,,
